Date,Rot,VH,Team,1st,2nd,3rd,4th,Final,Open,Close,ML,2H
907,422,H,Washington State,14,10,21,14,59,37.5,44,-150000,20
907,423,V,Gardner Webb,0,7,2,0,9,NL,NL,4500,26
907,424,H,East Carolina,17,14,7,10,48,29.5,30.5,-11000,10.5
907,425,V,Maine,3,0,0,15,18,NL,NL,250,21
907,426,H,Georgia Southern,0,10,6,10,26,9,7,-300,2
907,427,V,N. Carolina A & T,3,7,3,0,13,NL,NL,2650,24
907,428,H,Duke,7,21,10,7,45,27.5,26,-5600,12
907,429,V,Furman,13,7,8,14,42,NL,NL,195,31.5
907,430,H,Georgia State,3,14,21,10,48,7.5,6,-235,4
907,431,V,Eastern Kentucky,0,0,0,0,0,NL,NL,1000,26.5
907,432,H,Louisville,14,0,14,14,42,20.5,21,-1500,10
907,433,V,McNeese St,0,0,7,7,14,NL,NL,30000,30
907,434,H,Oklahoma State,14,14,28,0,56,42,41.5,-90000,14
907,435,V,Jackson St,7,0,0,7,14,NL,NL,2500,19.5
907,436,H,South Alabama,13,6,8,10,37,25,27.5,-5000,10
907,437,V,South Dakota,0,0,14,0,14,NL,NL,75000,28.5
907,438,H,Oklahoma,14,14,28,14,70,44.5,47,-225000,17.5
907,439,V,Tennessee St,6,0,13,7,26,NL,NL,2000,22
907,440,H,Middle Tenn St,0,10,14,21,45,27,24.5,-4000,9
907,441,V,Tennessee Martin,0,0,0,0,0,NL,NL,55000,24
907,442,H,Florida,3,14,14,14,45,44.5,45,-180000,17
907,443,V,Stony Brook,0,0,7,0,7,NL,NL,4500,25
907,444,H,Utah State,17,17,14,14,62,30.5,31.5,-11000,7.5
907,445,V,Prairie View,3,7,0,7,17,NL,NL,11000,35
907,446,H,Houston,24,10,3,0,37,37,35,-33000,13.5
907,447,V,Northern Arizona,7,6,14,14,41,NL,NL,2750,25.5
907,448,H,Arizona,21,30,7,7,65,28.5,27.5,-6000,6.5
907,309871,V,Marist,0,3,0,0,3,2,NL,165,0.5
907,309872,H,Georgetown,7,15,21,0,43,NL,4,-190,17.5
907,309873,V,New Hampshire,0,0,3,7,10,7.5,8,-290,4.5
907,309874,H,Holy Cross,0,3,0,10,13,NL,NL,245,20.5
907,309875,V,Lafayette,0,7,7,7,21,NL,NL,475,26
907,309876,H,Monmouth,7,14,0,3,24,17.5,13.5,-650,6.5
907,309877,V,Dayton,7,14,14,7,42,NL,NL,1000,24.5
907,309878,H,Indiana St,7,7,7,14,35,21.5,21.5,-1500,10.5
907,309879,V,The Citadel,0,7,7,14,28,NL,NL,275,25
907,309880,H,Elon,7,14,7,7,35,13,9,-335,0.5
907,309881,V,Howard,14,0,7,7,28,NL,NL,1400,29.5
907,309882,H,Youngstown St,6,21,20,7,54,23,24,-2500,10.5
907,309883,V,Central Arkansas,0,3,7,14,24,NL,3.5,-175,1.5
907,309884,H,Austin Peay,0,0,13,3,16,1.5,NL,155,21.5
907,309885,V,North Dakota,0,7,0,0,7,NL,NL,2000,23.5
907,309886,H,No Dakota State,14,7,10,7,38,32,26.5,-4000,10.5
907,309889,V,Southern Utah,0,0,7,7,14,NL,NL,1400,24
907,309890,H,Northern Iowa,7,17,10,0,34,24,24.5,-2500,9.5
907,309891,V,UC Davis,14,7,7,10,38,21.5,21,-1500,8.5
907,309892,H,San Diego,7,7,14,7,35,NL,NL,1000,32.5
907,309893,V,Bucknell,0,3,7,0,10,NL,NL,575,22
907,309894,H,Sacred Heart,0,23,0,7,30,14,16.5,-850,1.5
907,309895,V,Lehigh,0,3,7,0,10,NL,NL,2650,21.5
907,309896,H,Villanova,0,17,14,7,38,27,27.5,-5600,10.5
907,309897,V,NC Central,0,0,0,3,3,NL,NL,2500,27
907,309898,H,Towson,14,14,14,0,42,15,26.5,-5000,7.5
907,309899,V,St. Francis (PA),0,0,0,7,7,NL,NL,7500,19
907,309900,H,James Madison,14,13,10,7,44,26.5,33.5,-20000,11.5
907,309901,V,Bryant,0,0,0,3,3,NL,NL,575,22.5
907,309902,H,Albany,7,21,7,10,45,19,17,-850,0.5
907,309903,V,Texas Southern,7,10,20,7,44,NL,NL,3000,33
907,309904,H,Incarnate Word,14,28,7,14,63,28,28,-7000,7.5
907,309905,V,Delaware,0,0,14,8,44,NL,NL,110,3
907,309906,H,Rhode Island,3,10,0,9,36,2.5,2,-130,23
907,309907,V,Ark Pine Bluff,17,14,21,0,52,NL,NL,475,31.5
907,309908,H,Alabama A&M,14,0,20,0,34,14.5,15.5,-650,13.5
907,309909,V,Chattanooga,3,3,14,0,20,NL,NL,275,23
907,309910,H,Jacksonville St,7,14,6,14,41,7.5,8.5,-335,4
907,309911,V,Miss. Valley St,0,7,6,7,20,NL,NL,27500,23
907,309912,H,Lamar,0,7,3,10,23,41.5,38.5,-82500,20.5
907,309913,V,Morehead St,0,0,7,7,14,NL,NL,65000,26.5
907,309914,H,Illinois St,21,14,0,7,42,45.5,45.5,-195000,14
907,309915,V,SE Missouri St,0,10,0,7,17,NL,NL,300,28.5
907,309916,H,Montana St,10,0,28,0,38,10,7,-360,4.5
907,309917,V,Cal Poly,3,7,7,7,24,NL,NL,450,25
907,309918,H,Weber St,3,14,14,10,41,14.5,14,-600,7
907,309919,V,North Alabama,7,10,0,0,17,NL,NL,2750,27
907,309920,H,Montana,10,6,24,21,61,30,27,-6000,13.5
913,103,V,North Carolina,0,0,3,15,18,62.5,66,130,28.5
913,104,H,Wake Forest,7,14,0,3,24,3.5,3,-150,2.5
913,105,V,Kansas,7,21,13,7,48,54,51,1000,28.5
913,106,H,Boston College,17,7,0,0,24,18.5,21,-2000,7.5
913,107,V,Washington State,0,7,14,10,31,6,9.5,-360,4.5
913,108,H,Houston,0,14,0,10,24,74.5,73.5,280,37
914,109,V,Ohio State,7,23,21,0,51,13.5,17.5,-1100,7.5
914,110,H,Indiana,3,7,0,0,10,57.5,60.5,700,28
914,111,V,Kansas State,3,14,0,14,31,46,50.5,230,24
914,112,H,Mississippi State,0,14,7,3,24,7,7,-280,3.5
914,113,V,NC State,7,14,6,0,27,5.5,7,-265,3
914,114,H,West Virginia,14,7,10,13,44,50.5,46,215,25.5
914,115,V,Maryland,2,0,13,2,17,5.5,5,-200,2.5
914,116,H,Temple,7,0,6,7,20,62,65.5,170,30
914,117,V,Miami Ohio,10,0,3,0,13,48,49.5,600,23.5
914,118,H,Cincinnati U,0,14,21,0,35,15,17,-900,7.5
914,119,V,Pittsburgh U,0,10,0,0,10,51.5,53,650,27
914,120,H,Penn State,7,3,7,0,17,16.5,17,-1000,7.5
914,121,V,Eastern Michigan,14,9,0,11,34,55.5,57,230,30
914,122,H,Illinois,17,0,0,14,31,7.5,7,-280,4
914,123,V,Arkansas State,0,0,0,0,0,57,58,5900,23.5
914,124,H,Georgia,13,21,14,7,55,33.5,34,-14600,11.5
914,125,V,Air Force,6,14,0,3,30,58,58.5,135,27.5
914,126,H,Colorado,10,0,0,13,23,3.5,3,-155,0.5
914,127,V,San Diego State,7,10,7,7,31,16,16.5,-900,7
914,128,H,New Mexico State,0,0,10,0,10,51,51,600,21
914,129,V,Florida Atlantic,7,14,13,7,41,3,2.5,-135,31
914,130,H,Ball State,14,3,7,7,31,65,64,115,0.5
914,131,V,New Mexico,0,7,0,7,14,59,64,8500,26
914,132,H,Notre Dame,7,31,14,14,66,37,34.5,-23000,11
914,133,V,Akron,0,10,0,14,24,47.5,45.5,120,23.5
914,134,H,Central Michigan,3,24,3,15,45,5,2.5,-140,0.5
914,135,V,Stanford,7,0,3,17,27,58,58.5,290,25
914,136,H,Central Florida,28,10,0,7,45,6,10,-380,3.5
914,137,V,Alabama,14,10,10,13,47,25.5,26.5,-3000,10
914,138,H,South Carolina,10,0,3,10,23,59.5,59,1200,28.5
914,139,V,East Carolina,0,3,0,7,10,58,53.5,250,23.5
914,140,H,Navy,14,14,14,0,42,7,7.5,-310,3
914,141,V,Army,10,0,7,14,31,16,14.5,-700,7
914,142,H,Tex San Antonio,0,0,7,6,13,45.5,44,500,20
914,143,V,USC,7,10,0,10,27,4.5,4.5,-200,3
914,144,H,BYU,10,7,0,10,30,51,57.5,170,28.5
914,145,V,Georgia Southern,10,10,0,12,32,48,45,600,23
914,146,H,Minnesota U,14,7,0,14,35,15.5,16.5,-900,7
914,147,V,UNLV,7,7,0,0,14,55,52,750,26.5
914,148,H,Northwestern,10,6,7,7,30,20,19,-1200,7
914,149,V,Oklahoma State,17,3,13,7,40,13,14,-600,6.5
914,150,H,Tulsa,7,14,0,0,21,65,64,425,31.5
914,151,V,Memphis,7,16,7,12,42,21,20.5,-1200,10
914,152,H,South Alabama,0,0,0,6,6,63.5,55,750,24
914,153,V,Iowa,3,3,3,9,18,47,1.5,-125,20
914,154,H,Iowa State,7,0,7,3,17,1,42.5,105,pk-120
914,155,V,Colorado State,14,10,10,0,34,57.5,64,280,33.5
914,156,H,Arkansas,24,3,7,21,55,10,9.5,-360,4.5
914,157,V,Western Kentucky,0,7,7,7,21,55,48.5,300,21.5
914,158,H,Louisville,7,24,7,0,38,7.5,10.5,-400,4.5
914,159,V,Arizona State,0,3,0,7,10,45,42,550,20.5
914,160,H,Michigan State,0,0,0,7,7,11,15.5,-800,7.5+100
914,161,V,North Texas,0,3,7,7,17,55,50,450,23
914,162,H,California,20,0,3,0,23,14,14,-650,6
914,163,V,Louisiana Tech,14,7,0,14,35,9.5,12.5,-550,6
914,164,H,Bowling Green,7,0,0,0,7,55.5,59,400,26.5
914,165,V,Buffalo U,0,7,3,7,17,4,5.5,-230,4.5
914,166,H,Liberty,7,21,7,0,35,58,55,185,27
914,167,V,Southern Miss,14,3,9,21,47,50,49,130,24.5
914,168,H,Troy,7,7,7,21,42,3,3,-150,pk
914,169,V,Massachusetts,0,10,0,7,17,64,66.5,1000,29.5
914,170,H,Charlotte,21,10,14,7,52,18,21,-2000,7
914,171,V,Ohio,3,14,7,7,31,52,48,160,26.5
914,172,H,Marshall,10,17,0,6,33,4,4,-190,pk
914,173,V,Kent State,3,7,0,6,16,52,53.5,7500,26.5
914,174,H,Auburn,14,10,14,17,55,35,35.5,-20000,14.5
914,175,V,Florida,7,0,3,19,29,8,9.5,-360,5.5
914,176,H,Kentucky,0,14,7,0,21,51,45.5,280,23
914,177,V,Georgia State,10,0,0,0,10,65,69.5,270,32
914,178,H,Western Michigan,24,19,14,0,57,11.5,9,-340,1.5
914,179,V,Texas State,3,0,7,7,17,58,62.5,650,27
914,180,H,SMU,7,6,21,13,47,18,17.5,-1000,7.5
914,181,V,Duke,14,17,10,0,41,7,6.5,-260,1.5
914,182,H,Middle Tenn St,3,0,8,7,18,52.5,51,210,22.5
914,183,V,Hawaii,0,7,13,0,20,58,60,1000,27
914,184,H,Washington,21,17,0,14,52,20.5,21.5,-2000,7.5
914,185,V,TCU,10,3,14,7,34,53,3,-155,2.5
914,186,H,Purdue,3,3,0,7,13,2.5,53,135,22
914,187,V,Clemson,14,3,10,14,41,26,28,-4000,11.5
914,188,H,Syracuse,0,6,0,0,6,57,64,1400,28.5
914,189,V,Florida State,0,14,3,7,24,55,54,240,25.5
914,190,H,Virginia,3,7,0,21,31,8,7,-300,4.5
914,191,V,Oklahoma,17,17,7,7,48,19.5,23.5,-3000,9.5
914,192,H,UCLA,0,7,7,0,14,66.5,71,1200,28.5
914,193,V,No Illinois,0,5,3,0,8,54.5,53,425,24
914,194,H,Nebraska,10,20,7,7,44,15,14,-600,5
914,195,V,Texas,14,17,7,10,48,29.5,32,-10000,12
914,196,H,Rice,0,0,0,13,13,57.5,57,4000,21.5
914,197,V,Texas Tech,7,0,7,0,14,2,1.5,-125,3
914,198,H,Arizona,0,13,0,15,28,73,74,105,35
914,199,V,Furman,0,14,0,3,17,6,64.5,1450,28
914,200,H,Virginia Tech,3,0,14,7,24,NL,24.5,-2750,14.5
914,201,V,Chattanooga,0,0,0,0,0,6.5,50,5500,20.5
914,202,H,Tennessee U,21,17,7,0,45,NL,31.5,-13500,11.5
914,203,V,The Citadel,7,7,7,3,27,1.5,58.5,2650,25
914,204,H,Georgia Tech,0,6,8,10,24,NL,27,-5600,14
914,205,V,Norfolk St,0,7,0,0,7,30,48.5,2500,21
914,206,H,Coastal Carolina,12,7,14,13,46,NL,26.5,-5000,10.5
914,207,V,Bethune Cookman,0,0,0,0,0,NL,56,30000,21
914,208,H,Miami Florida,7,21,14,21,63,40.5,41.5,-90000,14
914,209,V,SE Louisiana,3,14,12,0,29,NL,53,4500,28
914,210,H,Mississippi,13,14,7,6,40,31,30.5,-11000,13
914,211,V,Idaho St,0,0,0,0,0,NL,63.5,14000,26.5
914,212,H,Utah,17,7,7,0,31,36.5,37.5,-42000,14
914,213,V,Cal Poly,7,0,0,0,7,NL,75.5,575,35
914,214,H,Oregon State,21,17,7,0,45,14.5,16.5,-850,7
914,215,V,Idaho,3,7,3,3,16,NL,53.5,2750,24
914,216,H,Wyoming,0,14,0,7,21,25.5,27.5,-6000,13
914,217,V,So Carolina St,3,0,6,7,16,NL,49.5,2750,22
914,218,H,South Florida,7,17,17,14,55,24,27.5,-6000,10
